fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
0.669873,NO,4.412123,0.0325,0.017078
2.533917,NO,4.532133,0.036667,0.015275
5.091372,NO,4.621618,0.03,0.012247
4.938792,NO,4.883697,0.04,0.02
4.20544,NO,3.894575,0.03,0.01
3.999421,NO,4.01623,0.035,0.007071
3.98144,YES,4.079446,0.046667,0.011547
3.995782,YES,4.196964,0.038,0.008367
3.999686,NO,4.1374,0.0575,0.009574
3.899922,NO,4.137364,0.041429,0.006901
4.003445,NO,4.091175,0.035714,0.017182
0.565746,NO,4.116814,0.035,0.009258
4.001384,NO,4.136474,0.036667,0.010328
3.999231,YES,4.1594,0.036667,0.015275
0.571472,NO,3.963855,0.042857,0.009512
2.861366,NO,4.084796,0.04,0.012247
3.999186,NO,4.087422,0.033333,0.015055
3.557241,YES,3.959793,0.025,0.012247
2.081319,YES,3.953488,0.036,0.011402
3.938305,NO,4.118373,0.06,0
2.775788,NO,4.128862,0.02,0.014142
2.800694,NO,4.108792,0.02625,0.005175
2.873538,NO,4.094234,0.04,0.012247
4.027166,NO,4.187696,0.025,0.021213
3.802943,NO,4.454651,0.035,0.005774
1.751787,YES,3.897162,0.036667,0.005774
2.801246,YES,3.928058,0.021667,0.009832
3.999194,NO,4.135496,0.05,0.01
3.996176,NO,4.060523,0.0275,0.007071
2.678532,NO,4.07509,0.034,0.016733
3.86273,NO,4.214334,0.03,0.014142
1.732817,NO,3.951469,0.04,0
1.203071,YES,3.981982,0.03,0.014142
2.63228,NO,4.170177,0.04,0
2.845359,YES,4.17238,0.025,0.017321
2.854488,NO,4.294309,0.04,0.008165
2.774035,NO,4.33515,0.0325,0.017078
2.863163,YES,4.332258,0.045,0.005774
5.091984,YES,4.31402,0.0375,0.009574
2.796565,YES,4.312583,0.032,0.013038
2.838204,YES,4.340638,0.042,0.008367
2.794465,YES,4.203458,0.032,0.013038
2.849405,YES,4.192956,0.0425,0.009574
2.872918,YES,4.178524,0.036,0.015166
2.773512,NO,4.288199,0.035,0.017321
2.860798,YES,4.258995,0.0375,0.005
5.097258,YES,4.267008,0.036667,0.005774
2.777285,YES,4.099927,0.031667,0.013292
3.654465,NO,4.052795,0.028,0.004472
3.908338,NO,4.005889,0.035,0.005477
1.719362,NO,4.027106,0.036667,0.020817
2.723762,NO,3.995003,0.0425,0.009574
2.789061,NO,4.060779,0.0375,0.017078
2.795581,NO,3.991145,0.036667,0.008165
3.802406,NO,4.025777,0.031667,0.007528
1.743791,NO,4.022563,0.03,0.011547
1.673238,NO,4.011043,0.031667,0.007528
3.898686,NO,4.015227,0.045,0.007071
2.868332,NO,4.07683,0.045,0.007071
2.716733,NO,4.023377,0.026667,0.012111
2.463427,NO,4.063295,0.046667,0.015275
2.651595,NO,4.04246,0.034,0.011402
3.807442,NO,4.39179,0.03125,0.006409
2.852453,YES,3.915993,0.036667,0.008165
2.76941,NO,4.074052,0.03125,0.008345
6.025851,NO,4.24098,0.03,0.014142
2.802911,YES,4.131602,0.037143,0.013801
3.79296,NO,4.000678,0.02625,0.009161
2.863515,NO,4.071862,0.03625,0.013025
2.747123,NO,4.006447,0.038333,0.01472
3.845976,NO,4.202128,0.033333,0.010328
4.018624,NO,3.830037,0.031429,0.006901
3.892371,NO,3.886295,0.035556,0.007265
1.764138,NO,4.276975,0.035,0.013784
2.794852,NO,4.229423,0.031429,0.008997
3.426115,YES,3.961741,0.035,0.015166
2.613761,NO,4.113045,0.0425,0.012817
2.864404,YES,4.114136,0.032857,0.009512
3.965722,NO,4.228588,0.035,0.010488
3.901467,NO,3.99785,0.031111,0.00928
1.712961,NO,4.146063,0.03,0.015635
1.736021,NO,4.131403,0.037143,0.011127
3.895136,NO,4.018101,0.0275,0.012817
3.997656,YES,4.179988,0.034286,0.012724
3.905971,NO,4.097862,0.03,0.013333
1.73286,NO,4.040101,0.038571,0.01069
3.995113,NO,4.060054,0.0275,0.013887
3.881095,NO,4.155128,0.035714,0.016183
1.733759,NO,4.101877,0.041667,0.007528
2.874779,YES,4.021057,0.0375,0.010351
3.998531,YES,3.999696,0.035,0.017321
1.588625,NO,3.967807,0.03625,0.014079
3.997986,NO,4.008359,0.03,0.005774
0.57757,NO,4.020081,0.036667,0.010328
3.906727,NO,3.97552,0.031429,0.006901
0.577462,NO,4.100199,0.03,0.006325
3.999135,YES,4.045042,0.0275,0.010351
2.796647,NO,4.114201,0.03,0.008944
1.733696,NO,4.131517,0.036,0.008944
3.899707,NO,3.999241,0.02875,0.008345
2.863024,NO,4.091215,0.031429,0.01215
2.872588,NO,4.09372,0.028333,0.01472
3.909002,NO,4.099559,0.032857,0.012536
4.005607,NO,4.067192,0.032857,0.007559
2.859026,NO,4.224458,0.03,0.028284
3.906444,YES,4.008057,0.031667,0.01472
3.666183,NO,3.99608,0.044,0.011402
2.850906,NO,4.06697,0.05,0
2.858986,NO,4.032152,0.046667,0.015275
0.575941,NO,4.004634,0.04,0.018708
4.004042,NO,4.002286,0.04625,0.014079
4.000418,NO,4.051881,0.036,0.011402
1.68403,NO,3.966898,0.055,0.021213
2.873146,NO,3.972214,0.0525,0.032016
2.781332,NO,4.040314,0.03,0.01
0.589049,NO,4.032506,0.06,0.014142
2.859301,NO,4.042851,0.04,0.014142
3.898456,NO,4.030951,0.0425,0.022174
3.987981,NO,4.078086,0.034,0.005477
1.717839,NO,3.997672,0.035,0.007071
2.916518,YES,4.486741,0,0
3.62334,NO,4.410048,0.03,0
2.99334,NO,4.205365,0.036667,0.005774
2.887732,NO,4.13381,0,0
3.828566,NO,4.030777,0.045,0.007071
0.598987,NO,4.230876,0.035,0.007071
2.801528,NO,3.863908,0.035,0.007071
2.740088,NO,3.990123,0.036667,0.005774
3.849824,NO,4.050088,0.032,0.013038
3.725239,NO,4.18601,0.04,0.017321
2.820251,NO,3.847598,0.036,0.008944
3.881039,NO,4.41523,0.034,0.008944
