fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,5435.765601,4.364408,0.0425,0.009574
YES,7622.042815,4.548368,0.0275,0.005
NO,8318.540183,4.11333,0.036,0.024083
NO,5188.118106,4.343143,0.03,0.012247
NO,4844.122955,4.26912,0.038,0.004472
NO,5368.90917,4.365605,0.04,0.01
YES,7847.114589,4.533392,0.03,0.014142
NO,4575.088583,4.314881,0.02625,0.011877
NO,6604.910926,4.313327,0.031667,0.007528
YES,5348.30199,4.288997,0.038,0.008367
NO,4911.312808,3.938114,0.038333,0.01472
YES,5572.817447,4.227814,0.038333,0.01169
NO,5240.541455,4.30744,0.032857,0.00488
NO,4976.389848,4.119118,0.037143,0.009512
NO,6204.71448,4.244671,0.036,0.005477
NO,4925.641195,4.423542,0.031667,0.01472
NO,4822.856945,4.112873,0.033333,0.013663
NO,5699.482974,4.241702,0.038333,0.013292
NO,4457.180633,4.419794,0.044,0.011402
NO,5752.331725,4.086579,0.031429,0.01069
NO,6090.944989,3.97657,0.03,0.011547
NO,5783.642703,4.118269,0.032222,0.009718
NO,5852.638849,4.178983,0.04125,0.016421
NO,6157.446803,4.028464,0.037143,0.007559
NO,5450.811983,4.163839,0.036,0.015166
NO,5740.231766,4.077648,0.038333,0.007528
NO,6092.011495,4.028731,0.036667,0.005164
NO,5604.006838,4.088423,0.035,0.013784
NO,6063.529194,4.136793,0.0425,0.012583
YES,5965.148136,4.196256,0.036,0.008944
YES,12374.67059,4.244122,0.035,0.021213
NO,4427.838372,4.163028,0.035,0.017321
NO,4721.470905,4.011749,0.04,0.026458
NO,4849.638107,4.075308,0.053333,0.020817
NO,5606.73487,4.031521,0.0525,0.029861
NO,4544.248738,4.114507,0.0475,0.017078
NO,4368.043569,4.077484,0.046667,0.024221
NO,4548.533143,4.191288,0.042,0.013038
NO,4526.409262,4.112518,0.06,0.014142
NO,4591.163032,4.261125,0.052,0.020494
NO,4992.67857,4.129794,0.033333,0.005774
NO,4473.173917,4.112157,0.045,0.005774
NO,4959.303973,4.11188,0.035,0.020736
NO,4685.719179,4.107893,0.03,0.02
NO,4803.087897,4.122647,0.05,0.042426
NO,5217.184443,4.066363,0.03,0.021602
NO,8213.996716,4.139653,0.033333,0.005774
NO,4744.380067,4.020434,0.036,0.013416
NO,4905.168446,4.166092,0.034,0.011402
NO,4159.430523,4.105329,0.04,0
NO,4211.856169,3.961413,0.036667,0.010328
NO,4981.722513,3.890871,0.04,0
YES,4910.408523,4.084267,0.0475,0.009574
YES,4912.480283,4.084514,0.04,0
NO,3974.741896,4.019386,0.036667,0.005774
NO,4537.894407,4.040515,0.036,0.005477
NO,4959.141573,4.035776,0.04,0.014142
YES,4934.452529,4.035931,0.026,0.011402
NO,4925.001594,4.018862,0.035,0.01
NO,5482.717671,3.97663,0.0525,0.012583
NO,5808.055658,4.017564,0.04,0.014142
YES,5196.65162,4.076454,0.035,0.021213
NO,5901.387335,4.064895,0.04,0.014142
YES,6996.497782,4.150716,0.035,0.01291
NO,5783.468429,4.037467,0.035,0.007071
NO,6846.929956,4.014139,0.05,0.017321
NO,6075.154224,4.026452,0.0425,0.023629
NO,5789.641732,3.992299,0.033333,0.012111
NO,6766.644948,4.113125,0.046667,0.020817
NO,5840.669286,4.003646,0.0725,0.045
NO,5796.011395,3.979749,0.028,0.004472
NO,4939.947037,4.073478,0.01,0
NO,4584.590003,3.978318,0,0
NO,4355.715979,3.944891,0,0
YES,4564.173811,4.472187,0.03,0.012247
NO,5126.693194,4.066373,0.028571,0.01069
NO,5502.677154,4.195026,0.032857,0.007559
NO,5129.094283,4.095362,0.034,0.011402
NO,4956.806502,4.535504,0.026,0.011738
NO,5587.224475,4.088245,0.032,0.009189
NO,4471.656573,4.224409,0.032,0.017512
NO,4893.44459,4.190404,0.03375,0.005175
NO,6428.913301,4.266986,0.031429,0.013452
NO,5365.328733,4.157572,0.03,0.01
NO,5077.282618,4.163036,0.03125,0.018851
NO,4728.777498,4.170355,0.035,0.014142
YES,5734.778752,4.12312,0.028889,0.003333
NO,5417.760498,4.192227,0.033333,0.01118
NO,6369.190087,3.998642,0.031667,0.007528
NO,5825.154293,4.211093,0.032857,0.012536
YES,7189.552516,4.044036,0.032857,0.017043
NO,6373.177684,4.401019,0.035714,0.012724
YES,7285.937171,4.176496,0.028333,0.009832
NO,6444.552005,4.347662,0.036,0.008944
YES,6580.532198,4.196129,0.045,0.005774
NO,7229.527105,4.175714,0.034286,0.009759
