@relation fluctuation_centroid_Mean

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean {NO,YES}
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std numeric

@data
4.003445,5753.226997,NO,0.035714,0.017182
0.565746,5475.602601,NO,0.035,0.009258
4.001384,6079.279393,NO,0.036667,0.010328
3.999231,7038.154359,NO,0.036667,0.015275
0.571472,5255.162595,YES,0.042857,0.009512
2.861366,6228.583267,NO,0.04,0.012247
3.999186,5581.403169,NO,0.033333,0.015055
3.557241,7192.137522,YES,0.025,0.012247
2.081319,7831.084834,YES,0.036,0.011402
3.938305,4528.24177,NO,0.06,0
2.775788,4108.553683,NO,0.02,0.014142
2.800694,3790.478146,NO,0.02625,0.005175
2.873538,3778.087268,NO,0.04,0.012247
4.027166,3952.421138,NO,0.025,0.021213
3.802943,5131.506933,NO,0.035,0.005774
1.751787,6870.187075,YES,0.036667,0.005774
2.801246,6493.171447,YES,0.021667,0.009832
3.999194,6207.647403,NO,0.05,0.01
3.996176,6029.298391,YES,0.0275,0.007071
2.678532,5767.257356,NO,0.034,0.016733
3.86273,6288.362129,NO,0.03,0.014142
1.732817,6029.817902,YES,0.04,0
1.203071,11481.79978,YES,0.03,0.014142
2.63228,6262.322892,NO,0.04,0
2.845359,6904.661085,NO,0.025,0.017321
2.854488,5949.952647,NO,0.04,0.008165
2.774035,6196.679617,NO,0.0325,0.017078
2.863163,6663.996432,NO,0.045,0.005774
5.091984,7058.089163,NO,0.0375,0.009574
2.796565,6744.96555,NO,0.032,0.013038
2.838204,6508.789881,NO,0.042,0.008367
2.794465,6501.500083,NO,0.032,0.013038
2.849405,6701.719627,NO,0.0425,0.009574
2.872918,6547.756492,NO,0.036,0.015166
2.773512,6347.25045,NO,0.035,0.017321
2.860798,6587.50815,NO,0.0375,0.005
5.097258,6834.825817,NO,0.036667,0.005774
2.777285,6629.69495,NO,0.031667,0.013292
3.654465,3378.661764,YES,0.028,0.004472
3.908338,3843.915655,YES,0.035,0.005477
1.719362,3418.92641,YES,0.036667,0.020817
2.723762,3561.65122,YES,0.0425,0.009574
2.789061,3660.70624,YES,0.0375,0.017078
2.795581,4176.400426,YES,0.036667,0.008165
3.802406,3620.471332,YES,0.031667,0.007528
1.743791,4002.812019,YES,0.03,0.011547
1.673238,3860.586621,YES,0.031667,0.007528
3.898686,3544.782958,YES,0.045,0.007071
2.868332,3381.740745,NO,0.045,0.007071
2.716733,3534.846463,YES,0.026667,0.012111
2.463427,5208.994577,YES,0.046667,0.015275
2.651595,5848.095011,YES,0.034,0.011402
3.807442,5410.218691,NO,0.03125,0.006409
2.852453,6490.479751,YES,0.036667,0.008165
2.76941,5190.699847,NO,0.03125,0.008345
6.025851,5270.040261,NO,0.03,0.014142
2.802911,6431.149713,NO,0.037143,0.013801
3.79296,5480.840115,YES,0.02625,0.009161
2.863515,5286.35768,NO,0.03625,0.013025
2.747123,6063.826159,YES,0.038333,0.01472
3.845976,6348.075815,NO,0.033333,0.010328
4.018624,6001.54984,YES,0.031429,0.006901
3.892371,5205.793132,YES,0.035556,0.007265
1.764138,5262.597739,NO,0.035,0.013784
2.794852,6109.705351,NO,0.031429,0.008997
3.426115,6539.288331,YES,0.035,0.015166
2.613761,6004.423659,NO,0.0425,0.012817
2.864404,6440.024319,NO,0.032857,0.009512
3.965722,5838.757685,NO,0.035,0.010488
3.901467,6196.76627,YES,0.031111,0.00928
1.712961,6232.802313,NO,0.03,0.015635
1.736021,5683.079529,NO,0.037143,0.011127
3.895136,5923.575687,YES,0.0275,0.012817
3.997656,6704.66375,NO,0.034286,0.012724
3.905971,5961.021147,NO,0.03,0.013333
1.73286,6114.134029,YES,0.038571,0.01069
3.995113,6133.892844,YES,0.0275,0.013887
3.881095,5968.708255,NO,0.035714,0.016183
1.733759,5837.37023,NO,0.041667,0.007528
2.874779,6612.605908,YES,0.0375,0.010351
3.998531,12705.18196,YES,0.035,0.017321
1.588625,5994.320373,YES,0.03625,0.014079
