@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
YES,-0.030815,0.712964,0.304761,0.358
YES,-0.25472,0.822599,0.388193,0.390722
YES,-0.236717,0.854833,0.441167,0.396203
NO,-0.033896,0.780619,0.487567,0.288207
YES,0.082835,0.692944,0.296486,0.362751
YES,-0.019545,0.63633,0.384737,0.356481
YES,-0.255266,0.805755,0.473477,0.388941
YES,-0.241539,0.864705,0.503362,0.41855
NO,-0.189728,0.76673,0.429665,0.27144
NO,-0.227246,0.70984,0.305238,0.399059
NO,0.06917,0.630487,0.346097,0.247228
NO,-0.140746,0.631269,0.295545,0.336667
NO,-0.21877,0.581592,0.272489,0.303387
NO,-0.208956,0.519572,0.319829,0.379374
NO,-0.010203,0.808162,0.273276,0.209399
YES,-0.004742,0.725526,0.294649,0.375382
NO,0.180186,0.637,0.402607,0.307112
NO,0.182039,0.77568,0.269413,0.324417
NO,0.153201,0.799523,0.357558,0.31231
NO,0.026407,0.478909,0.292716,0.339141
NO,-0.154876,1.022457,0.257339,0.298837
NO,-0.217096,0.269421,0.285229,0.370667
NO,-0.202114,0.327271,0.193003,0.241096
NO,-0.226014,0.257164,0.293065,0.239405
NO,-0.192051,0.249485,0.263358,0.291055
NO,-0.194237,0.371764,0.282971,0.160271
NO,0.069113,0.302576,0.458592,0.248599
YES,0.155427,0.32113,0.361699,0.224164
YES,0.135373,0.334045,0.208682,0.190769
YES,0.153561,0.204211,0.38422,0.375529
YES,0.109783,0.341737,0.519869,0.230991
YES,0.195941,0.766372,0.276017,0.178497
YES,0.505377,0.346956,0.37104,0.280799
YES,0.090217,0.372344,0.237152,0.121885
YES,0.172897,0.270659,0.122993,0.181408
YES,-0.156153,0.323638,0.145857,0.214462
YES,0.287727,0.381719,0.216258,0.248808
YES,0.955676,0.3989,0.228231,0.170496
NO,0.350137,0.414614,0.307399,0.253849
NO,-0.709235,0.333737,0.224371,0.122507
NO,-0.312158,0.42561,0.242597,0.141227
YES,0.531761,0.437683,0.263392,0.303185
NO,-0.50287,0.349185,0.269567,0.215243
